ID;SMILES
d/C PFSA n=8;O=S(=O)([O-])C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F
eecec PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)/C(F)=C(F)/C(F)(F)F
eecec PFSA n=8;O=S(=O)([O-])C1(F)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)C1(F)F
eecec PFSA n=8;O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-]
ether PFSA n=4;O=S(=O)([O-])C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=4;O=S(=O)([O-])C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ether PFSA n=4;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ether PFSA n=8;O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
H-PFDoDA;O=C([O-])C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
H-PFDS;O=S(=O)([O-])C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NMe-FBSAA;CN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
